,title,rating
0,La ragazza di Bube,3
1,Crash,3
2,"Flow My Tears, the Policeman Said",5
3,Lost in Music,3
4,Things The Grandchildren Should Know,4
5,Cocaine Nights,3
6,Chronicle of a Death Foretold,5
7,The Taming of the Shrew,3
8,The Merchant of Venice,3
9,Othello,4
10,A Midsummer Night's Dream,4
11,King Lear,3
12,Hamlet,4
13,Romeo and Juliet,4
14,Savages (Savages #2),3
15,Favorite Poems Of Emily Dickinson,4
16,Tales of Mystery and Madness,4
17,The Raven and Other Poems,4
18,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",4
19,"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)",4
20,"Around the World in Eighty Days (Extraordinary Voyages, #11)",3
21,Sukkwan Island,3
22,The Bishop Murder Case (A Philo Vance Mystery #4),3
23,The Garden Murder Case (A Philo Vance Mystery #9),3
24,Pop. 1280 (Crime Masterworks),5
25,The Black Arrow,3
26,Treasure Island,3
27,The Lovely Bones,4
28,"Ivanhoe (Waverley Novels, #5)",2
29,The Year of the Hare,4
30,1984,5
31,"Moby-Dick or, The Whale",3
32,"Billy Budd, Sailor",2
33,Tough Guys Don't Dance,3
34,The Call of the Wild,4
35,White Fang,3
36,Heaven and Hell,4
37,The Doors of Perception,4
38,Six Days of the Condor,3
39,"Love Story (Love Story, #1)",3
40,"Chronicles, Volume One",4
41,Les Trois Mousquetaires 1,3
42,Great Expectations,5
43,The Little Prince,3
44,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",3
45,A Clockwork Orange,5
46,Trainspotting,4
47,The Godfather (Mario Puzo's Mafia),5
48,No Country for Old Men,5
49,Cat's Cradle,4
50,Frankenstein,4
51,Dracula,5
52,Getting Even,4
53,Side Effects,4
54,Without Feathers,4
55,Junky,4
56,The Rum Diary,4
57,Fear and Loathing in Las Vegas,5
58,The Unbearable Lightness of Being,3
59,The Collected Tales of Nikolai Gogol,4
60,The Gambler,3
61,The Master and Margarita,5
62,Norwegian Wood,5
63,To Kill a Mockingbird,5
64,The Picture of Dorian Grey,5
65,The Virgin Suicides,4
66,Lord of the Flies,4
67,Fahrenheit 451,5
68,Millennium People,4
69,Fever Pitch,3
70,Snuff,3
71,One Flew Over the Cuckoo's Nest,3
72,Rant,4
73,Choke,5
74,Invisible Monsters,3
75,Heart of Darkness,5
76,Fight Club,5
77,A Scanner Darkly,5
78,Animal Farm,5
79,"Ask the Dust (The Saga of Arthur Bandini, #3)",4
80,"Dreams from Bunker Hill (The Saga of Arturo Bandini, #4)",4
81,Tortilla Flat,4
82,A Long Way Down,4
83,About a Boy,5
84,Confessions of a Crap Artist,4
85,Do Androids Dream of Electric Sheep?,5
86,Barney's Version,5
87,High Fidelity,5
88,The Catcher in the Rye,5
89,Mother Night,4
90,Slaughterhouse-Five,5
91,Sleepers,5
92,The Body Artist,4
93,The Apprenticeship of Duddy Kravitz,4
94,The Captain is Out to Lunch and the Sailors Have Taken Over the Ship,3
95,Ubik,5
96,"The Talented Mr. Ripley (Ripley, #1)",2
